complaint_text,label
"May utang sa kompanya(Patrick Foods product), dating taga Barangay Quipot lumipat sa Barangay San Jose. Perang inutang sa kompanya.",Money/Debt Disputes
Dumulog sa tanggapan ng Barangay si Gng. Rowena Canale upang isumbong Lonrey Umali gawa ng mga chat niya sa anak kong si Maribel Canale. Ang mga chat niya ay mga bastos. Nais ko siyang makausap at ng malinawan at maitanong sa kanya kung bakit sya ang chachat ng ganon sa anak ko.,Neighbor Disputes
"Dumulog sa tanggapan ng barangay si Jay-R. Bayani upang idulog ang reklamo kay G. Danny Moog sa hindi niya pagtupad sa kanilang usapan sa pagbabayad ng utang. Ayon sa napagkasunduan ay magbibigay ng 20k at magsisimula ang pagbibigay noong katapusan ng Enero 2022, pero hanggang ngayon ay wala pang naibabayad. Wala ding pasabi kung ano na ang nangyayari.",Money/Debt Disputes
"Dumulog sa tanggapan ng Brgy si Gng. Mary Grace Brual upang ireklamo si ""Popolo"" Jayson Maliglig dahil sa pagbabanta nito sa kanyang anak na si Alwynn Brual na papatayin at laging sabi ay siya ay gaganti. Palaging di umano ay may dalang ice pick si ""Popolo"". Minsan nagpangita sa covered court ay hinayaan ni “Popolo” ng icepick ang kanyang anak na si Alwynn.",Neighbor Disputes
Dumulog sa tanggapan ng Barangay si G. Rolando Cudro upang isumbong si G. Agrifino Reyes at ang kanyang pamangkin na si Johnrec De Alday sa pagbabanta. May dala silang samurai kawit/gulok. Kapag nalalasing ay pinapalabas ako ng aking bahay dahil ako daw estranghero lamang at ako ay papatayin. Maraming beses na itong nangyayari dilang 1 o 4 na beses.,Petty Criminal Offenses
"Dumating sa tanggapan ng Barangay si Gng. Maricel Silang upang idulog si Gng. Sheryll Silang. Ayon sa kanya may utang si Sheryll sa kanya na 107k bilang benta sa kanyang baboy. Ngunit sinabi ni Sheryll na binigyan na siya nito ng 107k. Pero hindi po totoo na nagbayd na siya sa akin. Ako po ay nahiling na makasama sa muli nilang paghaharap sa July 19, 2022 sa ganap na ika - 10 ng umaga sa tanggapan ng Punong Barangay.",Money/Debt Disputes
"Dumulog sa tanggapan si G. Leonardo Pana upang isumbong si Danny Salud may panatirang sulat sa Barangay Bignay, Sariaya, Quezon, tungkol sa usapang pag-aayos ng lupa pero inabot na ng 6 na taon ay meron na po kaming naibigay na pera. Nais po naming mabawi ang mga perang aming naibayad sa kanya at wala man siyang nagawa.",Property Disputes
"Dumulog sa tanggapan si G, Orlando Osmillo upang muling magharap sa Barangay sila ni Edmerson Perez ukol sa kanilang usapin/alitan noong nakaraan. Sa kadahilanang inutusan sila ng Judge ng muling paghaharap sa Barangay.",Neighbor Disputes
Dumulog sa tanggapan si G. Rommel Carandang upang ireklamo ang kanyang mga kapatid na sina Elsie at Ronnel Carandang para ialis ang o maglagay siya ng kanilang ding ding. Sapagkat idinikit na lang niya ang kanilang bahay sa pader ng aming bahay. Ganon din ang pagpapalipat ng kanilang deposito na nakalagay sa tapat ng aming bahay.,Property Disputes
"Dumulog sa tanggapan ng Barangay si Gng. Perla Dagli para ireklamo si Alexander dahil sinuntok ni Alexander si Noah Dagli dahil sa gulatan daw sa motor sa kalsada. Noong Agosto 21, 2022.",Petty Criminal Offenses
